TAG	VALOR_TAG
date	Abril/2011
title	Bar do Grill de Gualtar
topic	Acção Social. Bar do Gri
interviewee	Maria Aurora Costa
role	colaboradora do Bar do Grill de Gualtar
interviewer	�ngela Coelho
university	Universidade do Minho
journal	UMdicas
issue	91
date	Abril/2011
title	Bar do Grill de Gualtar
topic	Acção Social. Bar do Gri
interviewee	Maria Aurora Costa
role	colaboradora do Bar do Grill de Gualtar
interviewer	�ngela Coelho
university	Universidade do Minho
journal	UMdicas
issue	91
date	Abril/2011
title	Entrevista a André Pinheiro, Vice-Presidente da AAU
topic	Academia. como se deu a sua entrada no meio associativo, quais as suas responsabilidades e objectivos
interviewee	André Pinheir
role	aluno da Licenciatura em Estudos Portugueses e Lusófonos, actual Vice-Presidente do Departamento Desportivo da AAU
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	91
date	Abril/2011
title	Entrevista a André Pinheiro, Vice-Presidente da AAU
topic	Academia. como se deu a sua entrada no meio associativo, quais as suas responsabilidades e objectivos
interviewee	André Pinheir
role	aluno da Licenciatura em Estudos Portugueses e Lusófonos, actual Vice-Presidente do Departamento Desportivo da AAU
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	91
date	Abril/2011
title	Entrevista com a Pró-reitora Paula Cristina Martin
topic	Academia. Pró-reitora para o Ensin
interviewee	Paula Cristina Martins
role	Pró-reitora para o Ensin
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	91
date	Abril/2011
title	Entrevista com a Pró-reitora Paula Cristina Martin
topic	Academia. Pró-reitora para o Ensin
interviewee	Paula Cristina Martins
role	Pró-reitora para o Ensin
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	92
date	Maio/2011
title	Sector de Secretariado Departamento Alimentar dos SASUM
topic	Acção Social. Sector de Secretariado Departamento Alimentar dos SAS
interviewee	Lídia Parent
role	a responsável do Sector de Secretariado Departamento Alimentar dos SASU
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	92
date	Maio/2011
title	Sector de Secretariado Departamento Alimentar dos SASUM
topic	Acção Social. Sector de Secretariado Departamento Alimentar dos SAS
interviewee	Lídia Parent
role	a responsável do Sector de Secretariado Departamento Alimentar dos SASU
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	92
date	Maio/2011
title	Bar do CP3 «as pessoas são sempre bem atendida
topic	Acção Social. bar do C
interviewee	Manuel S�
role	responsável pelo bar do CP
interviewer	Maria João Quinta
university	Universidade do Minho
journal	UMdicas
issue	92
date	Maio/2011
title	Bar do CP3 «as pessoas são sempre bem atendida
topic	Acção Social. bar do C
interviewee	Manuel S�
role	responsável pelo bar do CP
interviewer	Maria João Quinta
university	Universidade do Minho
journal	UMdicas
issue	92
date	Maio/2011
title	Entrevista com Vasco Teixeira, Pró-reitor para a Investigaç
topic	Academia. Vasco Teixeira
interviewee	Vasco Teixeira
role	Pró-reitor para a Investigaç
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	92
date	Maio/2011
title	Entrevista com Vasco Teixeira, Pró-reitor para a Investigaç
topic	Academia. Vasco Teixeira
interviewee	Vasco Teixeira
role	Pró-reitor para a Investigaç
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	93
date	Julho/2011
title	Restaurante Panorâmico da Universidade do Minh
topic	Acção Social. O Restaurante Panorâmico da UMi
interviewee	Fernando Silva, Manuel Cerqueira
role	cozinheiro do restaurante Panorâmico, chefe de sala do Restaurante Panorâmi
interviewer	Ana Paula Magalhãe
university	Universidade do Minho
journal	UMdicas
issue	93
date	Julho/2011
title	Restaurante Panorâmico da Universidade do Minh
topic	Acção Social. O Restaurante Panorâmico da UMi
interviewee	Fernando Silva, Manuel Cerqueira
role	cozinheiro do restaurante Panorâmico, chefe de sala do Restaurante Panorâmi
interviewer	Ana Paula Magalhãe
university	Universidade do Minho
journal	UMdicas
issue	93
date	Julho/2011
title	Entrevista com Cláudia Viana, Pró-reitora Jurídico-institucio
topic	Academia. Cláudia Vian
interviewee	Cláudia Vian
role	Pró-reitora Jurídico-institucion
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	93
date	Julho/2011
title	Entrevista com Cláudia Viana, Pró-reitora Jurídico-institucio
topic	Academia. Cláudia Vian
interviewee	Cláudia Vian
role	Pró-reitora Jurídico-institucion
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	93
date	Julho/2011
title	Entrevista a António Paisana - Provedor do Estudante da UMinh
topic	Academia. António Paisan
interviewee	António Maria Vieira Paisan
role	Provedor do Estudante da UMinho
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	93
date	Julho/2011
title	Entrevista a António Paisana - Provedor do Estudante da UMinh
topic	Academia. António Paisan
interviewee	António Maria Vieira Paisan
role	Provedor do Estudante da UMinho
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	94
date	Julho/2011
title	Cantina de Azuré
topic	Acção Social. cantina de Azur
interviewee	Zeferino Magalhãe
role	responsável pela cantina de Azur�
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	94
date	Julho/2011
title	Cantina de Azuré
topic	Acção Social. cantina de Azur
interviewee	Zeferino Magalhãe
role	responsável pela cantina de Azur�
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	94
date	Julho/2011
title	Sector Apoio Técnico ao Responsável do DAF dos SAS
topic	Acção Social. mais pormenores sobre este sect
interviewee	Amélia Sofia Cost
role	responsável do Sector Apoio Técnico ao Responsável do DAF dos SA
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	94
date	Julho/2011
title	Sector Apoio Técnico ao Responsável do DAF dos SAS
topic	Acção Social. mais pormenores sobre este sect
interviewee	Amélia Sofia Cost
role	responsável do Sector Apoio Técnico ao Responsável do DAF dos SA
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	94
date	Julho/2011
title	Entrevista com o Eng. Carlos Silva, Administrador dos SASUM
topic	Acção Social. pormenores sobre Planeamento Estratégico dos SA
interviewee	Carlos Silva
role	Administrador dos SASUM
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	94
date	Julho/2011
title	Entrevista com o Eng. Carlos Silva, Administrador dos SASUM
topic	Acção Social. pormenores sobre Planeamento Estratégico dos SA
interviewee	Carlos Silva
role	Administrador dos SASUM
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	95
date	Outubro/2011
title	Grill de Azuré
topic	Acção Social. Grill de Azur
interviewee	Manuel Sampaio Oliveira
role	responsável pelo Grill de Azuém Grill de Azur
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	95
date	Outubro/2011
title	Grill de Azuré
topic	Acção Social. Grill de Azur
interviewee	Manuel Sampaio Oliveira
role	responsável pelo Grill de Azuém Grill de Azur
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	95
date	Outubro/2011
title	Carlos Lucas, diretor de competições e eventos da LP
topic	Desporto. conhecer um pouco melhor aquele que foi o primeiro português a trabalhar na UEF
interviewee	Carlos Lucas
role	diretor de competições e eventos da LP
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	95
date	Outubro/2011
title	Carlos Lucas, diretor de competições e eventos da LP
topic	Desporto. conhecer um pouco melhor aquele que foi o primeiro português a trabalhar na UEF
interviewee	Carlos Lucas
role	diretor de competições e eventos da LP
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	95
date	Outubro/2011
title	Reitor da Universidade do Minho em grande entrevista
topic	Academia. fazer um balanço do ano transacto, sentimentos, convicções e pontos de vista sobre alguns temas que afectam o ensino superior em geral e a Academia Minhota em particu
interviewee	Prof. Dr. António M. Cunh
role	Reitor da Universidade do Minho
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	95
date	Outubro/2011
title	Reitor da Universidade do Minho em grande entrevista
topic	Academia. fazer um balanço do ano transacto, sentimentos, convicções e pontos de vista sobre alguns temas que afectam o ensino superior em geral e a Academia Minhota em particu
interviewee	Prof. Dr. António M. Cunh
role	Reitor da Universidade do Minho
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	96
date	Novembro/2011
title	Rampa B - Cantina de Azuré
topic	Acção Social. trabalhar no Departamento Aliment
interviewee	José Amori
role	responsável pela Rampa B da Cantina de Azur�
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	96
date	Novembro/2011
title	Rampa B - Cantina de Azuré
topic	Acção Social. trabalhar no Departamento Aliment
interviewee	José Amori
role	responsável pela Rampa B da Cantina de Azur�
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	96
date	Novembro/2011
title	Presidente da AAUM em grande entrevista
topic	Academia. trajeto pela AAUM
interviewee	Luís Miguel Rodrigue
role	presidente da Associação Académica da Universidade do Mi
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	96
date	Novembro/2011
title	Presidente da AAUM em grande entrevista
topic	Academia. trajeto pela AAUM
interviewee	Luís Miguel Rodrigue
role	presidente da Associação Académica da Universidade do Mi
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	96
date	Novembro/2011
title	&a grande maioria dos alunos entram neste Curso porque querem, e n�o por n�o terem vaga noutros&
topic	Academia. Engenharia Mecânic
interviewee	Professor Joaquim Barbosa
role	diretor do Curso de Engenharia Mecânic
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	96
date	Novembro/2011
title	&a grande maioria dos alunos entram neste Curso porque querem, e n�o por n�o terem vaga noutros&
topic	Academia. Engenharia Mecânic
interviewee	Professor Joaquim Barbosa
role	diretor do Curso de Engenharia Mecânic
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	97
date	Dezembro/2011
title	Bar do Auditório de Azur�
topic	Acção Social. Bar do Auditório de Azu
interviewee	Bertina Leite
role	responsável pelo Bar do Auditório de Azur
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	97
date	Dezembro/2011
title	Bar do Auditório de Azur�
topic	Acção Social. Bar do Auditório de Azu
interviewee	Bertina Leite
role	responsável pelo Bar do Auditório de Azur
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	97
date	Dezembro/2011
title	Pedro Ribeiro, Departamento Comercial da Companhia de Eletricidade de Macau
topic	Academia. ex-aluno relembra a altura de estudante/atleta da UMinho
interviewee	Pedro Ribeiro
role	licenciado em Engenharia Mecânica, Departamento Comercial da CE
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	97
date	Dezembro/2011
title	Pedro Ribeiro, Departamento Comercial da Companhia de Eletricidade de Macau
topic	Academia. ex-aluno relembra a altura de estudante/atleta da UMinho
interviewee	Pedro Ribeiro
role	licenciado em Engenharia Mecânica, Departamento Comercial da CE
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	97
date	Dezembro/2011
title	Tem uma abrang�ncia muito grande dentro da engenharia e n�o est� focado numa tecnologia
topic	Academia. Mestrado Integrado em Engenharia e Gestão Industrial (MIEGI
interviewee	Professor Rui M. Lima
role	diretor de curso
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	97
date	Dezembro/2011
title	Tem uma abrang�ncia muito grande dentro da engenharia e n�o est� focado numa tecnologia
topic	Academia. Mestrado Integrado em Engenharia e Gestão Industrial (MIEGI
interviewee	Professor Rui M. Lima
role	diretor de curso
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	98
date	Dezembro/2011
title	N�o h� segredos, apenas trabalho&
topic	Desporto. Taekwondo
interviewee	Mário Silv
role	aluno de Enfermagem, recente Campeão Europeu Universitário de Taekwondo da UMin
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	98
date	Dezembro/2011
title	N�o h� segredos, apenas trabalho&
topic	Desporto. Taekwondo
interviewee	Mário Silv
role	aluno de Enfermagem, recente Campeão Europeu Universitário de Taekwondo da UMin
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	98
date	Dezembro/2011
title	José António Silva, Microsoft Portug
topic	Academia. José António Sil
interviewee	José António Sil
role	ex-atleta de Alta Competição na modalidade de Canoag
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	98
date	Dezembro/2011
title	José António Silva, Microsoft Portug
topic	Academia. José António Sil
interviewee	José António Sil
role	ex-atleta de Alta Competição na modalidade de Canoag
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	98
date	Dezembro/2011
title	Carlos Silva, Administrador dos Serviços de Acção Social da UMi
topic	Ação Social. objetivos estratégicos dos SASUM, orçamento, planos, prioridades e dificuldades previstas para o novo
interviewee	Carlos Silva
role	Administrador dos SASUM
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	98
date	Dezembro/2011
title	Carlos Silva, Administrador dos Serviços de Acção Social da UMi
topic	Ação Social. objetivos estratégicos dos SASUM, orçamento, planos, prioridades e dificuldades previstas para o novo
interviewee	Carlos Silva
role	Administrador dos SASUM
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	98
date	Dezembro/2011
title	Ao contr�rio de outras �reas h� falta de profissionais neste setor de atividade. Os nossos graduados podem esperar, como j� referi EMPREGO em Portugal e no mundo e, MUITOS DESAFIOS!
topic	Academia. Mestrado Integrado em Engenharia Têxti
interviewee	Rosa Maria Vasconcelos
role	Diretora de curso
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	98
date	Dezembro/2011
title	Ao contr�rio de outras �reas h� falta de profissionais neste setor de atividade. Os nossos graduados podem esperar, como j� referi EMPREGO em Portugal e no mundo e, MUITOS DESAFIOS!
topic	Academia. Mestrado Integrado em Engenharia Têxti
interviewee	Rosa Maria Vasconcelos
role	Diretora de curso
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	98
date	Dezembro/2011
title	A AAUM e a UMinho t�m um elevado prest�gio nas suas organiza��es desportivas
topic	Academia. balanço deste seu último manda
interviewee	André Pinheir
role	Vice-Presidente do Departamento Desportivo da AAUMinho
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	98
date	Dezembro/2011
title	A AAUM e a UMinho t�m um elevado prest�gio nas suas organiza��es desportivas
topic	Academia. balanço deste seu último manda
interviewee	André Pinheir
role	Vice-Presidente do Departamento Desportivo da AAUMinho
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	99
date	Fevereiro/2012
title	A minha fam�lia sempre foi o meu grande suporte
topic	Desporto. conhecer um pouco melhor este atleta TUTORUM
interviewee	Miguel Sarmento
role	atleta do ABC
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	99
date	Fevereiro/2012
title	A minha fam�lia sempre foi o meu grande suporte
topic	Desporto. conhecer um pouco melhor este atleta TUTORUM
interviewee	Miguel Sarmento
role	atleta do ABC
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	99
date	Fevereiro/2012
title	Os melhores anos da minha vida
topic	Academia. ex-atletas da UMinho
interviewee	Nuno Caetano
role	ex-aluno de LESI e Licenciado em Gestã
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	99
date	Fevereiro/2012
title	Os melhores anos da minha vida
topic	Academia. ex-atletas da UMinho
interviewee	Nuno Caetano
role	ex-aluno de LESI e Licenciado em Gestã
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	99
date	Fevereiro/2012
title	Ir� haver certamente uma maior descentraliza��o nas decis�es acompanhada por uma correspondente responsabiliza��o
topic	Academia. saber quais as ideias, projetos e ações da AAUM para o próximo 
interviewee	Hélder Castr
role	Presidente da AAUM
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	99
date	Fevereiro/2012
title	Ir� haver certamente uma maior descentraliza��o nas decis�es acompanhada por uma correspondente responsabiliza��o
topic	Academia. saber quais as ideias, projetos e ações da AAUM para o próximo 
interviewee	Hélder Castr
role	Presidente da AAUM
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	99
date	Fevereiro/2012
title	Pedro Gomes - Diretor de curso
topic	Academia. Biologia-Geologia
interviewee	Pedro Gomes
role	diretor de curso
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	99
date	Fevereiro/2012
title	Pedro Gomes - Diretor de curso
topic	Academia. Biologia-Geologia
interviewee	Pedro Gomes
role	diretor de curso
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	100
date	Fevereiro/2012
title	Rita Lírio, Managing Director do Programa Harvard Medical School Portuga
topic	Academia. ex-atletas da UMinho
interviewee	Rita Líri
role	Managing Director do Programa Harvard Medical School Portugal
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	100
date	Fevereiro/2012
title	Reitor da UMinho em grande entrevista
topic	Academia. vida da Academia
interviewee	Prof. Dr. António Cunh
role	Reitor da Universidade do Minho
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	100
date	Fevereiro/2012
title	UM VINTAGE CHAMADO “AZEITUN
topic	Cultura. 20 anos da Azeituna
interviewee	Emanuel Gouveia
role	presidente deste grupo cultural
interviewer	JOÃO NOGUEIRA DIA
university	Universidade do Minho
journal	UMdicas
issue	101
date	Março/201
title	A press�o e a ansiedade s�o partes integrantes do jogo
topic	Desporto
interviewee	Entrevista a Jean-Michel Fernandes
role	atleta de taekwondo da UMinho
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	101
date	Março/201
title	Casos de Sucesso de ex-atletas da UMinho Alberto Abreu
topic	desporto
interviewee	Alberto Abreu
role	figura histórica do andebol da UMinh
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	101
date	Março/201
title	Bruno Barracosa, Presidente da FADU
topic	Desporto
interviewee	Bruno Barracosa
role	Presidente da FADU
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	101
date	Março/201
title	Cristina Flores- Diretora de curso
topic	Academia
interviewee	Cristina Flores
role	Diretora de curso
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	102
date	Maio/2012
title	Estruturo todos os meus dias, de modo, a que tenha tempo para estudar, para treinar e me divertir.
topic	Desporto
interviewee	Ana Coelho
role	atleta de taekwondo da UMinho e atleta TUTORUM
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	102
date	Maio/2012
title	Rui Gomes
topic	Desporto
interviewee	Rui Gomes
role	engenheiro de produção, empresário, dirigente desport
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	102
date	Maio/2012
title	Paulo J. Ramísio, Pró-Reitor da UMin
topic	Academia
interviewee	Paulo J. Ramísi
role	Pró-Reitor da UMinh
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	102
date	Maio/2012
title	João Cerejeira - Diretor de curs
topic	Academia
interviewee	João Cerejeir
role	Diretor de curso
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	103
date	Junho/2012
title	Antonio Nestor Ribeiro - Diretor de curso
topic	Academia
interviewee	Antonio Nestor Ribeiro
role	diretor de curso de LEI
interviewer	Ana Marques
university	Universidade do Minho
journal	UMDicas
issue	104
date	Agosto/2012
title	UMinho recebe Mundiais de Futsal e Xadrez em Agosto
topic	Desporto
interviewee	Luís Rodrigue
role	Presidente do Comité Organizador dos mundiai
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	105
date	Outubro/2012
title	O desporto coletivo � uma met�fora daquilo que encontrei na sociedade e no mercado de trabalho
topic	Desporto
interviewee	Hugo Triunfante
role	licenciado em Engenharia de Sistemas e ex-capitão da equipa de Futsal da AAUMinh
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	105
date	Outubro/2012
title	Administrador dos SASUM em grande entrevista
topic	Academia
interviewee	Carlos Silva
role	Administrador dos SASUM
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	106
date	Novembro/2012
title	Setor Alimentar dos SASUM Números, objetivos e novidades..
topic	Academia
interviewee	Eng. Celeste Pereira
role	responsável do Setor Alimenta
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	106
date	Novembro/2012
title	Somos todos amigos e todos sabemos as nossas fun��es
topic	Desporto
interviewee	Gabriel Oliveira
role	Treinador
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	106
date	Novembro/2012
title	A UMinho foi a minha primeira e �nica op��o
topic	Desporto
interviewee	Miguel Mesquita
role	licenciado em Eng. Civil, dirigente associativo e capitão de equip
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	106
date	Novembro/2012
title	Hélder Castro, Presidente da AAU
topic	Academia
interviewee	Hélder Castr
role	Presidente da AAUM
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	107
date	Novembro/2012
title	Departamento Administrativo e Financeiro dos SASUM
topic	Academia
interviewee	Dr.ª Susana Silv
role	responsável do Departamento Administrativo e Financeir
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	107
date	Dezembro/2012
title	Hoje, todos reconhecer�o haver maior transpar�ncia na presta��o de contas e um n�vel mais elevado de participa��o respons�vel na vida da institui��o.
topic	Academia
interviewee	Luís Braga da Cru
role	Presidente do Conselho Geral
interviewer	Ana Marques
university	Universidade do Minho
journal	UMDicas
issue	108
date	Dezembro/2012
title	Servimos este ano cerca de 700 000 refei��es, devemos ficar pr�ximo dos 1 500 000 atendimentos nos bares
topic	Accção Soci
interviewee	Eng. Celeste Pereira
role	Departamento Alimentar (DA) dos SASUM
interviewer	Ana Marques
university	Universidade do Minho
journal	UMDicas
issue	108
date	Dezembro/2012
title	O Desporto e a atividade f�sica fazem parte da forma��o integral do estudante
topic	Desporto
interviewee	Fernando Parente
role	Departamento Desportivo e Cultural (DDC) dos SASUM
interviewer	Ana Marques
university	Universidade do Minho
journal	UMDicas
issue	108
date	Dezembro/2012
title	...toda a equipa do DS est� sempre dispon�vel para apoiar os alunos...
topic	Academia
interviewee	Departamento Social dos SASUM
role	Departamento Social dos SASUM
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	109
date	Janeiro/2013
title	R.I. deu-me as ferramentas necess�rias para voar e facilmente enquadrar-me neste mundo cada vez mais complexo, heterog�neo e din�mico
topic	Desporto
interviewee	Elias Bene
role	Licenciado em Relações Internacionais pela UMin
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	109
date	Janeiro/2013
title	Acredito que quem decide abra�ar um desafio destes s� o deve fazer se tiver a predisposi��o para marcar e para ser marcado. A predisposi��o de trazer o seu tempo, as suas capacidades e o dinamismo para construir algo de novo e melhor.
topic	Academia
interviewee	Carlos Alberto Videira
role	Presidente da AAUM
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	109
date	Janeiro/2013
title	Fernando Duarte - Diretor de Curso
topic	Academia
interviewee	Fernando Duarte
role	diretor do Mestrado Integrado em Engenharia de Polímero
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	109
date	Janeiro/2013
title	Serviços avançados para gestão de informação e preservação 
topic	Academia
interviewee	um dos fundadores da KEEP SOLUTIONS
role	KEEP SOLUTIONS
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	109
date	Janeiro/2013
title	Se gostas de cantar e queres aprender a tocar um instrumento, aparece aqui, aprendemos uns com os outros
topic	Cultura
interviewee	Ana S�
role	Presidente do grupo
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	110
date	Fevereiro/2013
title	� importante que se sintam fazendo parte de uma equipa, e mais do que isso de uma fam�lia como s�o os SASUM
topic	Academia
interviewee	Dr. José Saavedr
role	Setor de Economato e Aprovisionamento (ECAP)
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	110
date	Fevereiro/2013
title	Entrevista ao Reitor da UMinho, Prof. António M. Cunh
topic	Academia
interviewee	Prof. António M. Cunh
role	Reitor da UMinho
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	110
date	Fevereiro/2013
title	Thomas Kahl - Diretor de Curso
topic	Academia. Licenciatura em Matemátic
interviewee	Thomas Kahl
role	diretor da Licenciatura em Matemátic
interviewer	Ana Marques
university	Universidade do Minho
issue	110
date	Fevereiro/2013
title	UMdicas
title	Sob o lema “Veste outra pele” empresa promove experiências pessoais �
topic	Acção Soci
interviewee	Pedro Vieira
role	ex-aluno da Universidade do Minho
interviewer	Nuno Gonçalve
university	Universidade do Minho
issue	111
date	Março/201
title	UMdicas
title	� para mim um privil�gio fazer o que gosto e trabalhar com colegas que primam por prestar um servi�o de efici�ncia e qualidade
topic	Academia
interviewee	Dr.ª Carla Caço
role	Setor de Recursos Humanos (SRH) dos SASUM
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	111
date	Março/201
title	Entrevista a Carlos Videira, Presidente da AAUM
topic	Cultura
interviewee	Carlos Videira
role	Presidente da AAUM
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	111
date	Março/201
title	Pedro Patrício - Diretor de Curs
topic	Acaademia
interviewee	Pedro Patríci
role	Diretor de Curso
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	112
date	Maio/2013
title	&quando trabalhamos em equipa e sentimos que o resultado do nosso trabalho � considerado e valorizado, d�-nos �nimo para continuar&
topic	Academia
interviewee	Adélia Pereir
role	Setor de Património dos SASU
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	112
date	Maio/2013
title	Assegurada a manuten��o do n�vel de exig�ncia, o futuro da UMinho s� poder� ser melhor
topic	Academia
interviewee	Prof. Pedro Camõe
role	Administrador da Universidade do Minho
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	113
date	Junho/2013
title	&apesar da conjuntura social e econ�mica e das restri��es or�amentais&s�o cada vez mais prementes e vis�veis as car�ncias dos estudantes ao n�vel do apoio social escolar&
topic	Acção Soci
interviewee	Isabel Rêg
role	dietora do Setor de Apoio Clínico dos SASU
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	113
date	Junho/2013
title	António Vicente - Diretor de Curs
topic	Academia
interviewee	António Vicent
role	Diretor de Curso
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	113
date	Junho/2013
title	Acho que um empreendedor n�o escolhe ser empreendedor, vai sendo ao longo da sua vida, mesmo sem saber nada de empreendedorismo.
topic	Academia
interviewee	um dos fundadores do Weadapt
role	Weadapt
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	114
date	Agosto/2013
title	Os recursos humanos s�o, nos dias que correm e cada vez mais, os recursos mais valiosos das organiza��es. Uma organiza��o que n�o tenha esta vis�o dificilmente ter� sucesso na sua �rea de atividade.
topic	Acção Soci
interviewee	Eng. Celeste Pereira
role	Setor de Higiene e Segurança Alimenta
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	114
date	Agosto/2013
title	Entrevista com o Administrador dos SASUM
topic	Academia
interviewee	Carlos Silva
role	Administrador dos Serviços de Ação Soc
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	114
date	Agosto/2013
title	Madalena Lira - Diretora da Curso
topic	Academia
interviewee	Madalena Lira
role	Diretora da Licenciatura em Optometria e Ciências da Vis�
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	115
date	Setembro/2013
title	Setores de Tesouraria e Faturação e Controlo de Senhas dos SAS
topic	Academia
interviewee	Cristina Sousa
